"","ppm","state","USA_region","source","mgstr","bulk_purchase","fac_mgstr"
"918",1,"Michigan","Midwest","Internet",5,"Not Bulk","5"
"919",1,"Tennessee","South","No Input",5,"Not Bulk","5"
"920",0.8,"Ohio","Midwest","Heard it",10,"Not Bulk","10"
"921",0.5,"California","West","Personal",10,"Not Bulk","10"
"922",0.4,"Nevada","West","Heard it",10,"Bulk","10"
"923",1,"Florida","South","Personal",5,"Not Bulk","5"
"924",1,"Texas","South","Personal",5,"Not Bulk","5"
"925",0.2,"California","West","Heard it",10,"Not Bulk","10"
"926",1,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"927",1,"Washington","West","Personal",5,"Bulk","5"
"928",0.5,"California","West","Heard it",10,"Bulk","10"
"929",1,"Maryland","South","Internet",10,"Bulk","10"
"930",1.2,"Indiana","Midwest","Personal",10,"Not Bulk","10"
"931",0.1,"Washington","West","Personal",10,"Not Bulk","10"
"932",0.5,"Florida","South","Personal",10,"Bulk","10"
"933",1,"Florida","South","No Input",10,"Bulk","10"
"934",1,"South Carolina","South","Personal",10,"Not Bulk","10"
"935",1,"Missouri","Midwest","No Input",10,"Not Bulk","10"
"936",0.5,"Iowa","Midwest","No Input",10,"Not Bulk","10"
"937",0.5,"Minnesota","Midwest","No Input",10,"Bulk","10"
"938",0.5,"Minnesota","Midwest","Personal",10,"Bulk","10"
"939",0.5,"Minnesota","Midwest","Personal",10,"Not Bulk","10"
"940",0.5,"Minnesota","Midwest","No Input",10,"Not Bulk","10"
"941",0.8,"South Carolina","South","Internet",10,"Not Bulk","10"
"942",2,"Washington","West","No Input",5,"Not Bulk","5"
"943",1,"North Carolina","South","Heard it",5,"Not Bulk","5"
"944",1,"Colorado","West","Personal",5,"Bulk","5"
"945",1,"Colorado","West","Personal",5,"Not Bulk","5"
"946",0.5,"Colorado","West","No Input",10,"Not Bulk","10"
"947",0.9,"California","West","Personal",10,"Not Bulk","10"
"948",0.1,"Texas","South","Personal",10,"Bulk","10"
"949",2,"Colorado","West","Personal",5,"Not Bulk","5"
"950",1,"Florida","South","Personal",10,"Not Bulk","10"
"951",0.5,"Texas","South","Heard it",10,"Not Bulk","10"
"952",0.8,"Arizona","West","Heard it",5,"Not Bulk","5"
"953",1.6,"Florida","South","Heard it",5,"Not Bulk","5"
"954",2,"Arkansas","South","No Input",5,"Not Bulk","5"
"955",0.2,"Maryland","South","No Input",5,"Not Bulk","5"
"956",1,"North Carolina","South","Heard it",10,"Not Bulk","10"
"957",1,"Florida","South","Personal",10,"Bulk","10"
"958",1,"North Carolina","South","Personal",10,"Not Bulk","10"
"959",0.35,"California","West","No Input",10,"Not Bulk","10"
"960",0.8,"Washington","West","No Input",10,"Not Bulk","10"
"961",0.5,"Colorado","West","Personal",10,"Not Bulk","10"
"962",0.6,"Ohio","Midwest","Personal",10,"Bulk","10"
"963",2,"Nevada","West","No Input",10,"Not Bulk","10"
"964",0.6,"Texas","South","No Input",10,"Not Bulk","10"
"965",0.5,"Colorado","West","Personal",10,"Not Bulk","10"
"966",2,"Colorado","West","Personal",10,"Not Bulk","10"
"967",0.5,"New Jersey","Northeast","No Input",40,"Not Bulk","40"
"968",0.5,"Texas","South","Personal",40,"Not Bulk","40"
"969",0.5,"Texas","South","Personal",40,"Not Bulk","40"
"970",0.5,"Virginia","South","Personal",10,"Not Bulk","10"
"971",0.8,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"972",1,"North Carolina","South","No Input",10,"Not Bulk","10"
"973",1,"New York","Northeast","Personal",10,"Bulk","10"
"974",0.7,"New Jersey","Northeast","No Input",10,"Not Bulk","10"
"975",0.4,"Colorado","West","No Input",10,"Bulk","10"
"976",0.05,"Iowa","Midwest","Personal",40,"Bulk","40"
"977",0.5,"Iowa","Midwest","Personal",40,"Bulk","40"
"978",1.75,"Iowa","Midwest","Personal",40,"Bulk","40"
"979",0.25,"Iowa","Midwest","Personal",40,"Bulk","40"
"980",0.5,"Iowa","Midwest","Personal",40,"Bulk","40"
"981",0.25,"Iowa","Midwest","Personal",40,"Bulk","40"
"982",1,"Tennessee","South","Heard it",10,"Not Bulk","10"
"983",1,"Georgia","South","No Input",10,"Bulk","10"
"984",0.8,"Florida","South","Personal",10,"Not Bulk","10"
"985",0.125,"Michigan","Midwest","No Input",40,"Not Bulk","40"
"986",1,"Texas","South","Heard it",10,"Not Bulk","10"
"987",1.5,"Florida","South","Heard it",10,"Not Bulk","10"
"988",0.5,"Missouri","Midwest","Heard it",10,"Bulk","10"
"989",1,"North Carolina","South","Heard it",10,"Bulk","10"
"990",0.4,"Georgia","South","Heard it",10,"Not Bulk","10"
"991",0.5,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"992",1.5,"California","West","Heard it",10,"Not Bulk","10"
"993",0.9,"New York","Northeast","No Input",10,"Not Bulk","10"
"994",1,"Mississippi","South","No Input",10,"Bulk","10"
"995",1,"Indiana","Midwest","Heard it",10,"Bulk","10"
"996",0.4,"New York","Northeast","Internet",10,"Not Bulk","10"
"997",1,"New York","Northeast","Personal",5,"Not Bulk","5"
"998",0.8,"Colorado","West","Heard it",10,"Not Bulk","10"
"999",0.4,"Massachusetts","Northeast","Internet",5,"Not Bulk","5"
"1000",0.1,"North Carolina","South","Personal",10,"Bulk","10"
"1001",0.1,"North Carolina","South","Personal",10,"Bulk","10"
"1002",0.5,"Virginia","South","No Input",10,"Not Bulk","10"
"1003",1,"Maryland","South","Personal",10,"Not Bulk","10"
"1004",1,"Pennsylvania","Northeast","No Input",5,"Not Bulk","5"
"1005",1,"Iowa","Midwest","No Input",10,"Not Bulk","10"
"1006",0.085,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"1007",0.2,"Illinois","Midwest","Internet",10,"Bulk","10"
"1008",1,"Michigan","Midwest","Personal",10,"Bulk","10"
"1009",1.2,"Michigan","Midwest","Personal",5,"Not Bulk","5"
"1010",1,"Massachusetts","Northeast","No Input",10,"Not Bulk","10"
"1011",1,"California","West","No Input",10,"Not Bulk","10"
"1012",0.7,"North Carolina","South","No Input",10,"Not Bulk","10"
"1013",1,"Florida","South","Personal",5,"Not Bulk","5"
"1014",0.5,"Florida","South","No Input",10,"Not Bulk","10"
"1015",0.4,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1016",0.4,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1017",2,"Oklahoma","South","No Input",5,"Not Bulk","5"
"1018",0.5,"Pennsylvania","Northeast","Personal",10,"Bulk","10"
"1019",0.8,"Pennsylvania","Northeast","Personal",10,"Bulk","10"
"1020",0.85,"Colorado","West","Personal",10,"Bulk","10"
"1021",1,"Massachusetts","Northeast","No Input",10,"Bulk","10"
"1022",1,"Massachusetts","Northeast","No Input",10,"Not Bulk","10"
"1023",1,"Nevada","West","Heard it",10,"Bulk","10"
"1024",0.7,"New York","Northeast","No Input",10,"Not Bulk","10"
"1025",0.5,"Nevada","West","Heard it",10,"Not Bulk","10"
"1026",1.2,"Alabama","South","No Input",5,"Not Bulk","5"
"1027",0.6,"Utah","West","Personal",5,"Bulk","5"
"1028",0.6,"Tennessee","South","Personal",10,"Not Bulk","10"
"1029",0.4,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"1030",0.4,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"1031",0.1,"Washington","West","Heard it",10,"Not Bulk","10"
"1032",1,"New Jersey","Northeast","Personal",10,"Bulk","10"
"1033",0.5,"Massachusetts","Northeast","No Input",10,"Not Bulk","10"
"1034",1,"Georgia","South","Personal",10,"Not Bulk","10"
"1035",2,"Florida","South","No Input",10,"Not Bulk","10"
"1036",1.4,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"1037",1,"Texas","South","Heard it",10,"Not Bulk","10"
"1038",0.5,"Arkansas","South","Personal",10,"Bulk","10"
"1039",1,"Alabama","South","Personal",5,"Not Bulk","5"
"1040",1,"Tennessee","South","Personal",10,"Not Bulk","10"
"1041",0.5,"Ohio","Midwest","No Input",10,"Not Bulk","10"
"1042",1,"Tennessee","South","No Input",5,"Not Bulk","5"
"1043",1,"Oregon","West","No Input",10,"Not Bulk","10"
"1044",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"1045",1,"Maryland","South","No Input",10,"Not Bulk","10"
"1046",0.4,"California","West","Internet",10,"Not Bulk","10"
"1047",1,"Massachusetts","Northeast","Heard it",5,"Not Bulk","5"
"1048",0.6,"Arizona","West","No Input",10,"Not Bulk","10"
"1049",0.7,"Missouri","Midwest","Personal",10,"Not Bulk","10"
"1050",0.5,"California","West","No Input",10,"Not Bulk","10"
"1051",1,"Alaska","West","Personal",5,"Not Bulk","5"
"1052",0.3,"New York","Northeast","Personal",10,"Not Bulk","10"
"1053",0.7,"Minnesota","Midwest","Personal",10,"Not Bulk","10"
"1054",1,"New Jersey","Northeast","Heard it",10,"Not Bulk","10"
"1055",1,"California","West","Personal",10,"Not Bulk","10"
"1056",1,"Indiana","Midwest","Heard it",10,"Not Bulk","10"
"1057",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"1058",0.5,"Michigan","Midwest","Personal",10,"Bulk","10"
"1059",0.5,"California","West","Personal",10,"Not Bulk","10"
"1060",1,"Hawaii","West","No Input",40,"Bulk","40"
"1061",1,"Hawaii","West","No Input",40,"Bulk","40"
"1062",0.5,"Arizona","West","Heard it",10,"Not Bulk","10"
"1063",0.5,"Arizona","West","Heard it",10,"Not Bulk","10"
"1064",0.5,"Arizona","West","Heard it",10,"Not Bulk","10"
"1065",0.5,"Arizona","West","Heard it",10,"Not Bulk","10"
"1066",0.8,"Washington","West","No Input",10,"Not Bulk","10"
"1067",1,"Florida","South","Personal",10,"Not Bulk","10"
"1068",0.6,"Nevada","West","Personal",10,"Bulk","10"
"1069",1,"Virginia","South","Personal",10,"Not Bulk","10"
"1070",0.5,"California","West","No Input",10,"Bulk","10"
"1071",1,"Washington","West","Personal",10,"Not Bulk","10"
"1072",1.5,"Texas","South","Personal",10,"Not Bulk","10"
"1073",0.5,"Missouri","Midwest","Internet",10,"Not Bulk","10"
"1074",1,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"1075",0.2,"California","West","No Input",10,"Not Bulk","10"
"1076",1,"Colorado","West","Personal",10,"Not Bulk","10"
"1077",0.5,"Arizona","West","No Input",10,"Not Bulk","10"
"1078",0.7,"Oregon","West","Personal",10,"Bulk","10"
"1079",0.625,"Oregon","West","Personal",40,"Bulk","40"
"1080",1,"Virginia","South","Heard it",10,"Not Bulk","10"
"1081",2,"New York","Northeast","Personal",10,"Not Bulk","10"
"1082",0.5,"California","West","Internet",10,"Not Bulk","10"
"1083",1,"California","West","Internet",10,"Not Bulk","10"
"1084",0.8,"New York","Northeast","No Input",10,"Not Bulk","10"
"1085",0.4,"Utah","West","Heard it",10,"Bulk","10"
"1086",0.75,"Utah","West","Heard it",10,"Not Bulk","10"
"1087",1.5,"Pennsylvania","Northeast","Heard it",10,"Not Bulk","10"
"1088",1,"Washington","West","Personal",10,"Not Bulk","10"
"1089",1,"Virginia","South","Heard it",10,"Not Bulk","10"
"1090",0.5,"California","West","Personal",10,"Bulk","10"
"1091",1,"Virginia","South","No Input",10,"Not Bulk","10"
"1092",1.5,"Alabama","South","No Input",10,"Not Bulk","10"
"1093",0.4,"Wisconsin","Midwest","Personal",10,"Bulk","10"
"1094",0.25,"Michigan","Midwest","No Input",40,"Not Bulk","40"
"1095",0.2,"California","West","No Input",10,"Bulk","10"
"1096",0.6,"Ohio","Midwest","Heard it",10,"Bulk","10"
"1097",0.5,"North Carolina","South","No Input",40,"Not Bulk","40"
"1098",0.75,"Texas","South","No Input",40,"Not Bulk","40"
"1099",0.6,"Washington","West","No Input",10,"Bulk","10"
"1100",1,"Texas","South","No Input",10,"Not Bulk","10"
"1101",0.5,"Minnesota","Midwest","Heard it",40,"Not Bulk","40"
"1102",0.6,"Utah","West","Personal",10,"Not Bulk","10"
"1103",1,"Florida","South","Personal",10,"Not Bulk","10"
"1104",1.5,"California","West","Heard it",10,"Bulk","10"
"1105",1,"Texas","South","Personal",10,"Not Bulk","10"
"1106",0.2,"Alaska","West","Personal",10,"Not Bulk","10"
"1107",1,"California","West","No Input",10,"Not Bulk","10"
"1108",1.5,"Michigan","Midwest","Heard it",10,"Not Bulk","10"
"1109",0.2,"California","West","No Input",5,"Not Bulk","5"
"1110",0.5,"Arizona","West","Personal",10,"Not Bulk","10"
"1111",1,"California","West","Internet",10,"Not Bulk","10"
"1112",0.5,"Kentucky","South","Heard it",10,"Not Bulk","10"
"1113",0.8,"Kansas","Midwest","No Input",5,"Not Bulk","5"
"1114",1,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1115",0.5,"Virginia","South","Personal",10,"Not Bulk","10"
"1116",0.8,"North Carolina","South","Heard it",5,"Not Bulk","5"
"1117",1,"Florida","South","Personal",10,"Bulk","10"
"1118",0.1,"New York","Northeast","Heard it",10,"Not Bulk","10"
"1119",0.5,"Arizona","West","No Input",10,"Not Bulk","10"
"1120",0.8,"Indiana","Midwest","Personal",5,"Not Bulk","5"
"1121",1,"Ohio","Midwest","Personal",5,"Bulk","5"
"1122",1,"Tennessee","South","No Input",5,"Not Bulk","5"
"1123",1,"Massachusetts","Northeast","Internet",10,"Not Bulk","10"
"1124",0.1,"Oklahoma","South","Personal",10,"Not Bulk","10"
"1125",0.3,"California","West","No Input",10,"Not Bulk","10"
"1126",1,"California","West","Personal",10,"Not Bulk","10"
"1127",0.5,"California","West","Personal",10,"Not Bulk","10"
"1128",1,"Tennessee","South","Heard it",10,"Bulk","10"
"1129",0.4,"California","West","Heard it",10,"Not Bulk","10"
"1130",0.5,"Ohio","Midwest","Heard it",10,"Bulk","10"
"1131",1,"Arkansas","South","No Input",10,"Bulk","10"
"1132",1,"Delaware","South","Personal",40,"Not Bulk","40"
"1133",1,"Delaware","South","Personal",40,"Bulk","40"
"1134",1,"Utah","West","Heard it",10,"Not Bulk","10"
"1135",0.7,"Texas","South","Personal",10,"Not Bulk","10"
"1136",2,"North Carolina","South","Personal",5,"Not Bulk","5"
"1137",1,"Michigan","Midwest","No Input",5,"Bulk","5"
"1138",1,"New York","Northeast","No Input",5,"Not Bulk","5"
"1139",1,"Oklahoma","South","Heard it",10,"Bulk","10"
"1140",1,"New Mexico","West","No Input",10,"Bulk","10"
"1141",0.6,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"1142",0.5,"Louisiana","South","No Input",10,"Not Bulk","10"
"1143",0.5,"California","West","Internet",10,"Not Bulk","10"
"1144",1,"Delaware","South","Personal",10,"Bulk","10"
"1145",0.0625,"Nevada","West","No Input",40,"Not Bulk","40"
"1146",1,"Pennsylvania","Northeast","Internet",10,"Bulk","10"
"1147",0.3,"Iowa","Midwest","Personal",10,"Not Bulk","10"
"1148",1,"Florida","South","No Input",10,"Not Bulk","10"
"1149",0.25,"Arizona","West","Personal",10,"Bulk","10"
"1150",0.5,"New York","Northeast","Heard it",10,"Bulk","10"
"1151",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"1152",1,"Ohio","Midwest","No Input",10,"Not Bulk","10"
"1153",1,"North Carolina","South","No Input",10,"Not Bulk","10"
"1154",0.5,"Virginia","South","Personal",10,"Not Bulk","10"
"1155",1,"Texas","South","No Input",10,"Not Bulk","10"
"1156",0.5,"Texas","South","No Input",10,"Not Bulk","10"
"1157",1,"Georgia","South","Personal",10,"Not Bulk","10"
"1158",0.1,"California","West","No Input",10,"Not Bulk","10"
"1159",1,"Georgia","South","Personal",10,"Not Bulk","10"
"1160",0.15,"New York","Northeast","No Input",10,"Not Bulk","10"
"1161",0.6,"California","West","Personal",5,"Not Bulk","5"
"1162",1.5,"West Virginia","South","Personal",10,"Bulk","10"
"1163",1,"Washington","West","Heard it",10,"Not Bulk","10"
"1164",0.4,"California","West","Personal",10,"Not Bulk","10"
"1165",0.6,"Indiana","Midwest","No Input",5,"Not Bulk","5"
"1166",0.6,"Indiana","Midwest","No Input",5,"Not Bulk","5"
"1167",1,"Alabama","South","No Input",10,"Not Bulk","10"
"1168",0.6,"Pennsylvania","Northeast","Personal",5,"Not Bulk","5"
"1169",1,"West Virginia","South","No Input",10,"Not Bulk","10"
"1170",1,"Tennessee","South","No Input",10,"Not Bulk","10"
"1171",1,"Tennessee","South","Personal",10,"Not Bulk","10"
"1172",0.012,"Texas","South","No Input",10,"Bulk","10"
"1173",1,"New Mexico","West","No Input",10,"Not Bulk","10"
"1174",1,"Georgia","South","No Input",10,"Not Bulk","10"
"1175",0.5,"Oklahoma","South","Heard it",10,"Not Bulk","10"
"1176",0.025,"Pennsylvania","Northeast","Heard it",40,"Not Bulk","40"
"1177",0.5,"Ohio","Midwest","Personal",10,"Bulk","10"
"1178",1.5,"New Jersey","Northeast","Heard it",10,"Bulk","10"
"1179",1,"Ohio","Midwest","No Input",10,"Not Bulk","10"
"1180",1,"New York","Northeast","Heard it",10,"Not Bulk","10"
"1181",0.3,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1182",1,"North Carolina","South","No Input",10,"Not Bulk","10"
"1183",1.5,"Nevada","West","Internet",10,"Bulk","10"
"1184",0.5,"California","West","Personal",10,"Bulk","10"
"1185",0.4,"California","West","Personal",10,"Not Bulk","10"
"1186",0.4,"California","West","Personal",10,"Not Bulk","10"
"1187",0.4,"California","West","No Input",5,"Bulk","5"
"1188",0.5,"Nevada","West","Personal",10,"Bulk","10"
"1189",1,"West Virginia","South","Internet",5,"Not Bulk","5"
"1190",1,"Hawaii","West","Personal",10,"Not Bulk","10"
"1191",0.6,"Oregon","West","No Input",5,"Not Bulk","5"
"1192",0.7,"New York","Northeast","No Input",10,"Not Bulk","10"
"1193",0.5,"Arkansas","South","No Input",10,"Not Bulk","10"
"1194",2,"California","West","No Input",5,"Not Bulk","5"
"1195",0.4,"Ohio","Midwest","No Input",5,"Not Bulk","5"
"1196",0.5,"Michigan","Midwest","No Input",10,"Bulk","10"
"1197",0.5,"Michigan","Midwest","No Input",10,"Bulk","10"
"1198",1,"Arizona","West","Personal",40,"Not Bulk","40"
"1199",1,"Alabama","South","Personal",10,"Not Bulk","10"
"1200",0.8,"Washington","West","No Input",10,"Not Bulk","10"
"1201",0.5,"Ohio","Midwest","Heard it",10,"Not Bulk","10"
"1202",0.1,"Mississippi","South","No Input",10,"Not Bulk","10"
"1203",0.5,"Indiana","Midwest","No Input",10,"Not Bulk","10"
"1204",0.6,"California","West","Heard it",5,"Not Bulk","5"
"1205",1,"Michigan","Midwest","Personal",10,"Bulk","10"
"1206",0.3,"New York","Northeast","No Input",10,"Not Bulk","10"
"1207",0.1,"California","West","Heard it",10,"Not Bulk","10"
"1208",1,"Nevada","West","Personal",10,"Bulk","10"
"1209",1,"California","West","Heard it",5,"Not Bulk","5"
"1210",1,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"1211",0.7,"North Carolina","South","No Input",10,"Not Bulk","10"
"1212",1.2,"Indiana","Midwest","Personal",10,"Not Bulk","10"
"1213",0.5,"California","West","Personal",10,"Not Bulk","10"
"1214",0.5,"California","West","No Input",10,"Not Bulk","10"
"1215",1,"Texas","South","Internet",10,"Not Bulk","10"
"1216",1,"Virginia","South","No Input",10,"Not Bulk","10"
"1217",1,"Georgia","South","Personal",10,"Bulk","10"
"1218",0.6,"Minnesota","Midwest","Personal",5,"Bulk","5"
"1219",0.7,"Alabama","South","Personal",10,"Not Bulk","10"
"1220",0.6,"Texas","South","Heard it",10,"Bulk","10"
"1221",1,"Indiana","Midwest","No Input",10,"Not Bulk","10"
"1222",1,"Texas","South","No Input",10,"Bulk","10"
"1223",2,"Wyoming","West","Heard it",10,"Not Bulk","10"
"1224",0.5,"Ohio","Midwest","Personal",10,"Not Bulk","10"
"1225",1,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"1226",0.5,"Georgia","South","No Input",10,"Bulk","10"
"1227",0.3,"California","West","No Input",10,"Not Bulk","10"
"1228",1,"Kentucky","South","Heard it",40,"Not Bulk","40"
"1229",1.4,"California","West","Internet",5,"Not Bulk","5"
"1230",0.3,"California","West","Personal",10,"Bulk","10"
"1231",1.5,"Idaho","West","Personal",10,"Bulk","10"
"1232",0.1,"Missouri","Midwest","Internet",5,"Not Bulk","5"
"1233",0.8,"Pennsylvania","Northeast","No Input",5,"Not Bulk","5"
"1234",0.8,"Massachusetts","Northeast","Heard it",5,"Not Bulk","5"
"1235",0.5,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"1236",1.2,"New York","Northeast","No Input",5,"Not Bulk","5"
"1237",0.3,"California","West","Personal",10,"Bulk","10"
"1238",1,"Illinois","Midwest","No Input",10,"Not Bulk","10"
"1239",0.5,"Alabama","South","Heard it",10,"Not Bulk","10"
"1240",0.75,"Maine","Northeast","No Input",40,"Not Bulk","40"
"1241",0.7,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"1242",0.5,"Illinois","Midwest","No Input",40,"Not Bulk","40"
"1243",1.5,"Texas","South","Heard it",10,"Not Bulk","10"
"1244",0.5,"Maryland","South","Personal",40,"Not Bulk","40"
"1245",0.1,"Illinois","Midwest","Heard it",10,"Not Bulk","10"
"1246",1,"Washington","West","Heard it",5,"Not Bulk","5"
"1247",1,"Pennsylvania","Northeast","Personal",10,"Not Bulk","10"
"1248",1,"Ohio","Midwest","Personal",10,"Not Bulk","10"
"1249",1,"Michigan","Midwest","Heard it",10,"Not Bulk","10"
"1250",1,"Colorado","West","Personal",5,"Not Bulk","5"
"1251",1,"Oregon","West","No Input",5,"Not Bulk","5"
"1252",1.5,"Oklahoma","South","Personal",10,"Not Bulk","10"
"1253",2,"Oklahoma","South","No Input",5,"Not Bulk","5"
"1254",0.5,"Ohio","Midwest","Heard it",10,"Not Bulk","10"
"1255",1,"Delaware","South","Personal",10,"Not Bulk","10"
"1256",1,"Illinois","Midwest","Personal",40,"Not Bulk","40"
"1257",0.3,"Ohio","Midwest","Personal",10,"Not Bulk","10"
"1258",1.5,"North Carolina","South","Personal",10,"Not Bulk","10"
"1259",0.4,"Minnesota","Midwest","Heard it",5,"Bulk","5"
"1260",1.6,"Florida","South","Personal",5,"Not Bulk","5"
"1261",0.2,"New York","Northeast","Personal",5,"Bulk","5"
"1262",0.75,"California","West","No Input",40,"Not Bulk","40"
"1263",1,"Florida","South","No Input",10,"Not Bulk","10"
"1264",0.7,"Arkansas","South","No Input",10,"Not Bulk","10"
"1265",0.3,"Wisconsin","Midwest","Personal",10,"Bulk","10"
"1266",0.5,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1267",1,"Missouri","Midwest","Heard it",10,"Not Bulk","10"
"1268",1,"Texas","South","No Input",10,"Not Bulk","10"
"1269",0.5,"Missouri","Midwest","Personal",40,"Not Bulk","40"
"1270",0.5,"Missouri","Midwest","Personal",40,"Not Bulk","40"
"1271",2,"Michigan","Midwest","Personal",5,"Bulk","5"
"1272",0.3,"California","West","Internet",10,"Not Bulk","10"
"1273",1.5,"California","West","No Input",10,"Not Bulk","10"
"1274",1.5,"California","West","No Input",10,"Not Bulk","10"
"1275",0.005,"Missouri","Midwest","Personal",10,"Not Bulk","10"
"1276",2,"Maryland","South","Personal",5,"Not Bulk","5"
"1277",1,"Georgia","South","No Input",10,"Not Bulk","10"
"1278",0.5,"Florida","South","Heard it",10,"Not Bulk","10"
"1279",1,"Tennessee","South","Personal",10,"Not Bulk","10"
"1280",0.5,"Arizona","West","Personal",10,"Not Bulk","10"
"1281",1,"Arkansas","South","No Input",10,"Not Bulk","10"
"1282",0.4,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"1283",1,"Oregon","West","Personal",10,"Not Bulk","10"
"1284",1,"Georgia","South","Personal",10,"Not Bulk","10"
"1285",1,"Ohio","Midwest","Personal",10,"Not Bulk","10"
"1286",0.5,"New York","Northeast","Personal",40,"Not Bulk","40"
"1287",0.2,"Arizona","West","Personal",5,"Not Bulk","5"
"1288",0.05,"Texas","South","Heard it",40,"Bulk","40"
"1289",0.5,"California","West","Heard it",10,"Not Bulk","10"
"1290",0.7,"Washington","West","No Input",10,"Bulk","10"
"1291",1,"South Carolina","South","No Input",10,"Not Bulk","10"
"1292",0.5,"Alabama","South","Heard it",10,"Not Bulk","10"
"1293",1,"Colorado","West","No Input",10,"Not Bulk","10"
"1294",1,"Maryland","South","Internet",10,"Not Bulk","10"
"1295",1,"New York","Northeast","Personal",10,"Not Bulk","10"
"1296",0.25,"Michigan","Midwest","Personal",40,"Not Bulk","40"
"1297",1,"Arizona","West","Personal",5,"Bulk","5"
"1298",0.2,"Arizona","West","Personal",5,"Bulk","5"
"1299",0.5,"New York","Northeast","Personal",40,"Not Bulk","40"
"1300",0.5,"California","West","Personal",10,"Not Bulk","10"
"1301",0.5,"Michigan","Midwest","Personal",10,"Bulk","10"
"1302",0.6,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"1303",0.2,"Michigan","Midwest","No Input",5,"Not Bulk","5"
"1304",0.5,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1305",1,"Arkansas","South","Personal",5,"Not Bulk","5"
"1306",1,"California","West","Personal",10,"Bulk","10"
"1307",1.5,"Michigan","Midwest","Personal",10,"Bulk","10"
"1308",1.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"1309",0.5,"Michigan","Midwest","No Input",10,"Not Bulk","10"
"1310",0.5,"Missouri","Midwest","Personal",10,"Not Bulk","10"
"1311",0.133,"California","West","Internet",10,"Not Bulk","10"
"1312",1,"South Dakota","Midwest","No Input",10,"Not Bulk","10"
"1313",0.5,"California","West","No Input",10,"Not Bulk","10"
"1314",2,"New York","Northeast","No Input",5,"Not Bulk","5"
"1315",0.25,"New Jersey","Northeast","Personal",40,"Bulk","40"
"1316",0.5,"Alabama","South","No Input",10,"Not Bulk","10"
"1317",0.5,"Mississippi","South","No Input",10,"Not Bulk","10"
"1318",1.5,"Indiana","Midwest","Heard it",10,"Not Bulk","10"
"1319",0.3,"Tennessee","South","No Input",10,"Not Bulk","10"
"1320",0.8,"Illinois","Midwest","No Input",10,"Not Bulk","10"
"1321",0.8,"California","West","Personal",10,"Bulk","10"
"1322",0.6,"Minnesota","Midwest","No Input",5,"Not Bulk","5"
"1323",0.7,"Tennessee","South","Personal",10,"Not Bulk","10"
"1324",1,"Delaware","South","Personal",10,"Not Bulk","10"
"1325",1,"Kansas","Midwest","Heard it",10,"Bulk","10"
"1326",0.25,"Indiana","Midwest","No Input",40,"Not Bulk","40"
"1327",1,"Alaska","West","No Input",10,"Not Bulk","10"
"1328",1.5,"California","West","Personal",10,"Not Bulk","10"
"1329",0.5,"California","West","No Input",10,"Bulk","10"
"1330",0.9,"Indiana","Midwest","No Input",10,"Not Bulk","10"
"1331",0.125,"Washington","West","Personal",40,"Bulk","40"
"1332",2,"Texas","South","No Input",5,"Not Bulk","5"
"1333",0.5,"South Carolina","South","No Input",10,"Not Bulk","10"
"1334",0.8,"Florida","South","Heard it",10,"Not Bulk","10"
"1335",0.5,"Michigan","Midwest","Personal",10,"Not Bulk","10"
"1336",2,"Florida","South","No Input",10,"Not Bulk","10"
"1337",1,"Ohio","Midwest","Heard it",5,"Not Bulk","5"
"1338",1.2,"Indiana","Midwest","Internet",5,"Not Bulk","5"
"1339",0.8,"New York","Northeast","Personal",5,"Not Bulk","5"
"1340",1,"Washington","West","Personal",5,"Not Bulk","5"
"1341",1,"Pennsylvania","Northeast","No Input",10,"Not Bulk","10"
"1342",0.7,"Tennessee","South","No Input",10,"Not Bulk","10"
"1343",0.025,"Florida","South","Personal",10,"Not Bulk","10"
"1344",1,"Utah","West","No Input",10,"Not Bulk","10"
"1345",0.4,"California","West","Heard it",5,"Not Bulk","5"
